id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length
XECIL,UTJM,Pantry,7,7,Yes,"A person is eating a sandwich in the pantry, and takes a bag of chips from the cabinet. The person wipes their hands with a paper towel.",bag;cabinet;chips;food;napkin;sandwich;towel,"Person eats sandwich, open cabinet, grab food out, pours food on plate, puts food away, grabs napkin, wipe mouth.",c024 20.00 25.00;c068 16.00 23.00;c061 0.00 29.20;c063 12.20 18.80;c021 17.50 28.20;c024 26.20 32.70;c034 28.50 34.00;c065 0.00 27.50;c068 12.70 19.60;c113 9.90 14.50;c062 5.70 10.10;c020 12.70 21.90;c023 12.00 16.70;c033 23.10 34.00;c035 22.10 27.10;c067 1.50 5.60;c156 2.00 8.80;c112 10.50 17.20;c069 0.10 5.80,32.92
TX020,1TZV,Garage,3,6,Yes,"A person runs into the garage, eating a sandwich. The person puts on a pair of shoes and leaves.",chair;doorway;shoe,"A person runs into a garage and sits down. They put some shoes on and walk out.;person runs into garage, sits in chair, puts on shoes, and runs out of garage",c150 0.00 7.00;c154 2.00 9.00;c059 4.00 16.00;c055 4.00 16.00;c054 4.00 16.00;c151 8.00 13.40;c097 0.60 5.90,21.54
VAXUU,BYF9,Closet / Walk-in closet / Spear closet,7,7,Yes,A person is seen taking a camera from their closet. They grasp the doorknob and begin closing the closet door.,camera;closet/cabinet;curtain;door;phone;shelf;wardrobe,"A person moves a curtain and picks up a camera from the wardrobe. The person then leaves the room with the camera, closing the door behind themselves.;A person opens a curtain and gets a camera from a shelf. They then close a door",c006 13.70 22.00;c015 2.70 22.00;c018 2.20 9.20;c113 0.00 3.20;c097 0.20 5.00,21.00
B9YPQ,YMXV,Bedroom,7,5,Yes,A person is seen fixing a doorknob on a wardrobe. They then begin laughing and start to leave.,door;pockets;wardrobe,"a person is closing a door to a wardrobe, then putting his hands in his pockets and smiling, then walking to another door and going through it.;The person closed the closet door walk towards the door and walk out the door.",,30.92
UKCTK,YMXV,Bedroom,5,7,Yes,"One person takes a broom and a camera from the room and leaves, smiling.",broom;closet;door;phone,"A person picks up an item from the bedroom floor then pull their phone out of their pocket and looks at it before slowly exiting the room.;A person picks up a broom off the floor, then checks their phone. They walk into the closet and close the door.",c015 5.00 32.00;c006 27.00 32.00;c098 1.70 32.00;c097 15.80 32.00,30.88
AZC1I,YA10,Laundry room,5,7,Yes,"A person is seen fixing a chair in the laundry room. They smile and sit in the chair, pulling out their laptop.",chair;laptop,"Person flips chair and tightens screws, sits on chair, and opens computer",c048 19.00 30.60;c059 20.30 32.00;c151 19.50 27.00;c154 13.80 23.80;c052 24.90 31.80,30.71
Q24KP,9Y7F,Bedroom,6,5,Yes,One person puts a blanket on a table while a other person is laughing next to a cabinet.,bed;blanket;clothes;table;towel,Person A walks into the room and puts a towel away while person B watches person A.;A person is standing in the bedroom. A second person picks up a towel off the bed then sits down.,c009 10.50 18.10;c035 2.90 15.50;c037 2.90 14.90;c033 3.10 16.90;c135 17.10 32.00;c001 10.00 17.10;c034 9.80 17.10;c151 15.80 21.70,30.71
OOWJ9,P3TI,Dining room,6,7,Yes,A person is eating some food while they read a book. The pour a glass of water and start taking a drink.,book;bowl;cup;dish;food;glass;jug;table;water,A person sits at a table and eats from a bowl while reading a book. They pour a glass of water and drink.,c108 15.20 25.90;c106 21.70 33.10;c032 0.00 14.50;c011 0.00 35.00;c107 14.70 35.00;c061 0.00 19.90;c156 0.00 18.20;c109 22.10 34.80;c110 19.20 28.10;c118 0.00 6.10;c109 28.00 34.30,34.00
5Z1CO,R1OT,Bedroom,5,4,Yes,"A person is playing by trying to juggle the medicine, book, and food they just picked up while tidying.",bed;book,"Person tidies bed, sits on it, juggles objects,",c031 12.60 26.00;c151 4.10 10.50;c135 3.90 10.90;c026 8.40 13.90,24.96
DB4WX,L4ZP,Living room,5,7,Yes,"A person is playing with a pillow. A person is smiling as the person watches her, leaning on a table.",pillow,person is playing with a pet,c076 0.00 30.30;c154 23.00 28.30;c078 0.00 29.70,29.71
UBVV7,KFGP,Hallway,6,7,Yes,Person puts blanket in box. Person smiles. Person eats small food item. Person closes box and puts box in closet.,blanket;box;food;something,A person folds a sheet and puts it into a box. The person then takes some food out of a bag and eats it. The person then takes the box and stores it away in a closet.,c075 0.00 8.50;c063 9.90 18.40;c039 19.20 27.10;c156 12.50 25.60;c151 6.70 20.10;c154 25.70 35.10;c042 4.00 38.00;c040 4.90 37.70;c044 4.90 37.70;c041 4.90 37.70;c043 23.90 35.70;c061 11.60 27.90;c062 16.20 28.20,37.17
AGWQA,2Q9D,Laundry room,6,7,Yes,A person walks into a laundry room and throws a towel in the dryer closing the door. The person then fixes the placement of detergents on the shelf.,clothes;door;shelf;towel,A person is throwing laundry in the laundry machine then tidying up a shelf.,c082 5.90 30.50;c034 1.00 7.80;c001 1.00 7.80;c081 30.00 33.00;c005 30.00 33.00;c033 30.00 33.00;c081 10.20 16.40;c005 2.00 8.90;c033 0.00 7.10,32.00
TJBGM,8718,Entryway (A hall that is generally located at the entrance of a house),5,4,Yes,A person is standing with a broom in the entryway.  The person then walking over to grab a book that's nearby.,book;broom;floor;shoes,A person sweeps the floor in the kitchen. They put down the broom and pick up a book and start reading.;The person is sweeping the floor. The person arranges some shoes. The person picks up a book and starts reading it.,c027 19.10 31.00;c032 19.50 31.00;c102 0.00 16.40;c127 0.00 15.90;c026 16.20 31.00;c030 15.60 20.80;c098 0.00 18.20,30.42
0NFT7,5LWB,Other,6,6,Yes,A person is tidying up the garage by putting up some towels. A second person enters the doorway to hand the person a drink. The first person drinks from the glass as they walk out of the garage through the same doorway.,clothes;dish;door;floor;glass;laundry;towel,"A person is walking and sorting laundry.  Person 1 puts laundry in piles on the floor.  Person two walks into the room holding two drinks and hands person 1 a drink, as person 1 walks out the door.;A person dropping clothes in a line and before exiting the room, Another person enters the room handing the person a drink",c034 4.10 11.40;c000 0.10 7.40;c003 3.00 9.60;c001 3.10 9.90;c118 13.00 23.00;c126 5.40 9.70;c126 6.70 11.50;c097 11.30 18.50,22.00
AX4EW,18IT,Dining room,6,6,Yes,A person is eating in a dining room and then sneezes. Another person takes a picture of the person sneezing with a camera.,camera;food;phone;picture;table,Person A is taking a picture of Person B while Person B eats good on a table and sneezes.;Person A is taking a picture of Person B and Person B is eating from a plate and sneezing.,c015 0.00 18.00;c156 1.50 14.10;c153 10.30 18.00;c087 0.00 18.00;c061 0.00 13.80;c011 0.00 18.00,16.67
LT2IJ,LTAC,Laundry room,7,6,Yes,"A person is putting and taking, boxes and pictures from a cabinet.",book;box;cabinet;picture;shelf,"A person talked some items from a shelf, flips through a magazine, and replaces the items.",c043 6.00 14.50;c084 10.30 19.30;c032 14.20 22.30;c082 0.00 38.00;c042 2.50 9.60;c042 25.30 30.80;c081 26.30 31.40;c082 0.00 14.50;c042 12.50 17.40;c081 19.90 26.30;c117 13.80 19.70;c116 19.70 25.20;c115 14.40 25.00,37.12
X0CKA,H8N1,Living room,4,6,Yes,Person is standing looking at a picture on a shelf. Person begins drinking a glass of water.,dish;glass;picture;sofa/couch;water,A person is looking at a picture then takes a drink from a glass.,c084 0.00 14.60;c088 0.00 15.50;c106 12.20 19.00;c118 11.70 19.40;c123 0.00 21.00,19.75
JZ9L4,YMXV,Bedroom,6,7,Yes,A person is seen fixing clothes and sitting on a chair. The person begins holding a towel to put away.,chair;clothes;towel,"The person is sitting down and starts buttoning up a shirt. When the person finishes buttoning the shirt, the person grabs a white towel. The person then stands up and puts the towel on a bed. The person grabs the chair and moves it out of the way.",c059 0.00 27.90;c033 16.30 30.60;c148 0.10 15.20;c154 20.20 26.90,31.67
003WS,P6LJ,Home Office / Study (A room in a house used for work),6,7,Yes,A person is grasping some medicine by the doorway.  Then a person started tidying the area near a light.,doorway;light;medicine,A person turns on the camera and opens the door.  The person then opens some medicine and paces it on the table.  The person then readjusts the table and turns off the camera.,,45.75
MLDGN,HR43,Laundry room,5,3,Yes,A person in the laundry room is dressing by putting on some clothes. They see a picture on the laundry machine and start watching the picture.,clothes;picture;sponge,A person fixes the coat they are wearing and then cleans a picture frame with a sponge.,c088 6.10 11.50;c083 6.10 10.70;c084 8.90 19.00,18.04
VPJLN,P6LJ,Living room,5,6,No,A person turns the doorknob and runs in through the entryway holding some clothes.,clothes;door,A person is holding laundry while going in and out of the door using the door know.,c000 0.00 21.60;c141 2.70 12.90;c150 16.40 23.40;c008 1.30 14.30,30.33
CW9VO,LTAC,Living room,6,5,Yes,A person watching the television sneezes and grabs a tissue from the desk.,desk;hair;paper;television;tv,"A person is standing and watching television while laughing, they then take a paper from a desk.;This person is standing in the living room, watching TV and then picks up a paper towel.",c131 15.30 25.30;c132 0.00 32.20,34.25
XCUOD,L4ZP,Kitchen,4,4,No,A person in a towel is dressing for work. Another person is eating food at the kitchen table.,bag;chair;chips;clothes;food;jacket;robe;snack;table;trash,"A person is sitting in a chair holding a bag and eating a snack. They throw an object in a trash can as another person enters the room and takes a snack out of the bag and eats it, and then puts a jacket on and leaves the room.;This person is sitting in a chair eating chips, another person walks in and eats some chips as well, then puts on a robe.",c061 0.00 26.50;c010 0.00 35.00;c148 20.50 31.80;c009 18.80 28.90;c156 1.70 21.40;c020 0.00 24.50;c063 0.00 14.10;c001 22.00 31.00;c059 0.00 35.00;c011 0.00 35.00;c062 2.90 17.00,34.04
YQOPM,P6LJ,Closet / Walk-in closet / Spear closet,6,6,Yes,"A person throws some clothes into a box. The person stands there for a moment, then removes the clothes and begins to fold them.",box;clothes,A person is putting clothes from a box into a closet.,c001 3.40 19.20;c044 15.50 22.50;c002 0.00 3.20;c004 4.50 48.00;c000 0.00 20.40;c003 4.80 18.10,46.54
VJ3B5,KFGP,Bathroom,7,7,Yes,A person is in the bathroom and there is an empty box in the sink.  The person picks up the box and throws it to the floor while laughing.,box;floor;sink,a person walks into a room.  The person takes a box from the sink and throws it to the floor,c040 5.10 10.10;c045 6.00 10.20;c126 6.00 10.20;c149 0.00 26.00;c043 5.20 10.10,24.50
1D31Z,T7C3,Pantry,6,6,Yes,"A person is fixing a sandwich in the pantry. The person laughs as they take a drink from a glass of water, then leaves through the doorway.",bag;bread;cup;dish;doorway;food;glass;groceries;sandwich;shelf;water,A person is taking bread out of a bag and  drinking from a glass of water.,c097 33.80 39.90;c106 28.60 35.30;c020 0.00 16.50;c130 10.60 17.30;c022 10.40 17.50;c061 0.00 39.70;c081 10.80 17.30;c063 0.00 8.20;c067 26.30 39.90;c023 0.00 15.00;c066 11.90 30.30;c118 26.40 39.90,38.67
LWP5F,UTMU,Garage,6,7,Yes,A person is seen grasping a sandwich eating it. The person begins opening a box and pulls out some clothes.,box;clothes;food;sandwich,A person is eating a sandwich.  The person is taking some clothes out of a box.,c040 13.40 32.00;c044 15.90 25.20;c065 0.00 17.60;c156 0.00 16.10;c041 14.20 20.00;c067 0.00 17.30;c002 14.40 32.00,30.54
HDDU0,XXN8,Kitchen,6,6,Yes,"A person is grasping their mug of coffee as the person works on their homework. Then, laughing, the person stands and walks to the refrigerator.",cup;letter;paper;refrigerator,The person was holding a cup of coffee and reading a letter and walking in the kitchen.  The person was apparently getting ready for the work day.,c115 6.00 14.20;c107 0.00 36.00;c145 10.20 20.10;c117 4.90 14.90;c143 28.90 35.90;c116 14.80 22.90,35.21
NMG2Z,DXDI,Basement (A room below the ground floor),4,7,Yes,"A person is in a basement undressing from their clothes, they then start snuggling with their shirt by a closed door.",clothes,A person takes off some clothes,c155 0.00 14.00;c000 10.70 32.00,30.92
TU3IG,H8N1,Kitchen,7,7,Yes,A person is holding a box while taking some medicine.,box;cup;drink;food;glass;medicine;table,"A person walks into the kitchen and sets a drink on a table. The person then opens a box and puts medicine in their mouth, and then picks up the drink and walks out of the room;a person eats food out of a box then takes a drink",c041 0.30 10.60;c129 6.60 11.90;c106 10.10 16.70;c156 6.40 11.90;c128 0.30 18.10;c109 0.00 4.60;c044 0.70 12.60;c107 0.00 3.80;c110 8.70 18.10,19.08
C1LJS,KFGP,Bedroom,6,7,Yes,"A person opens the bedroom door, walks through, closes it, then lies down on the bed.",bed;clothes;door,The person came into the room and got into the bed to rest.,c008 0.80 7.70;c134 14.80 32.00,31.42
WFWTU,1TZV,Garage,7,7,Yes,"A person runs into the garage, eating a piece of food. The person runs out, closing the door behind them.",door;food,"A person is running into a garage eating some food, they then leave and close the door behind them.",c061 0.00 23.00;c006 18.30 23.00;c150 0.00 4.80;c156 0.00 17.90;c097 0.00 4.60,22.29
KU2T0,9Y7F,Dining room,5,5,Yes,A person is snuggling with a pillow while another person is lying next to a book.,chair;pillow;table,One person is sitting in a chair tossing a pillow.  The other person is sitting in a chair with their head on the table.;a person tosses a pillow around in a chair as another sleeps on a table,c076 1.00 8.70;c080 0.00 5.20;c059 0.00 8.20;c011 0.00 25.90,30.42
9WX7N,YMXV,Stairs,7,7,Yes,"A person is sitting on the stairs with a pillow in their lap.  The person stands up and looks in the mirror, smiles, then sneezes.",blanket;mirror;pillow,"A person is sitting on the stairs holding a pillow and making hand gestures.  They appear in front of a mirror, sneeze and then use their hands to clean and prepare themselves.",c096 14.80 33.00;c076 0.00 16.70;c153 17.30 24.60;c070 0.00 16.70,32.92
8W0XJ,YMXV,Living room,5,5,Yes,A person closes the garage window and smiles. The person takes a camera from the shelf and snaps a picture.,camera;closet/cabinet;cupboard door;phone;picture;shelf;window,A person is closing some cupboard doors and then takes a photo of them with a camera.;A person looks out and closes a window.  Then take person takes a picture with a camera.,c087 12.00 33.00;c015 11.40 33.00;c154 10.30 16.30;c089 0.00 9.50;c018 13.90 33.00;c112 0.00 8.70;c016 13.90 33.00,31.75
IUW9N,2Q9D,Bathroom,1,1,No,"A person walks into the bathroom, closing the door behind them. The person looks in the mirror and adjusts their clothes.",clothes;door;hair;hat;mirror,Someone walks into the bathroom and closes the door behind them. They look into the mirror and fix their hat.,c006 0.10 5.90;c096 3.20 31.00;c148 6.20 23.50;c004 17.60 28.60;c144 8.20 13.50;c097 0.00 5.80,30.29
3H0PT,OUKK,Living room,6,7,Yes,A person is sitting at a desk eating food. They get up and leave the room closing the door behind them.,chair;desk;door;food;laptop,A man sitting at a desk with a laptop on a the keyboard tray gets up and leaves through a door.,c008 10.00 17.30;c061 0.00 4.10;c156 0.00 13.00;c154 8.30 13.40;c059 0.00 13.00;c141 10.50 16.40;c051 0.00 12.30;c097 13.30 18.00,17.42
9JIHR,1OHU,Hallway,6,7,Yes,A person is lying on the floor on a hallway kicking a door. The person then gets up and walks towards a box in the hallway.,floor,A person is laying on the floor and kicking a door they stand up and walk over to a box,c124 0.00 16.70;c154 13.20 20.60,24.88
W6QUC,YMXV,Living room,4,6,Yes,One person washes the window with a towel as another lies on the floor fixing a broken chair.,chair;closet/cabinet;floor;towel;window,A person lying on the floor is holding a chair as another person uses a towel to clean a window.,c124 0.00 32.00;c033 3.30 22.20;c038 3.10 20.50;c091 3.40 12.30;c114 2.50 27.80,31.00
XBXKO,OUKK,Laundry room,3,6,Yes,A person is watching a video on their while washing clothes. The person takes some clothes out of the dryer and puts them into a box.,box;clothes;phone/camera;video,"Person stands in laundry room, picks up smartphone, watches video on smartphone, grabs clothes from dryer.",c002 30.30 36.70;c001 31.10 39.10;c087 2.00 13.00;c015 0.00 32.70;c016 0.00 32.70,39.96
WYHPH,UTMU,Kitchen,6,5,Yes,A person laughing at a camera while awakening next to a cabinet.,cabinet;camera;floor;phone,"A person is sitting in the kitchen, leaning against the cabinets. The person stretches and reveals they are holding a camera. The person laughs at the camera, and then stands up.;a person sits on the floor then looks at a camera",c015 2.70 17.00;c154 11.50 17.00;c125 0.00 15.30,15.75
GLH5S,P6LJ,Living room,7,,No,"One person stands, opens a jar of medicine and sneezes, then puts it in a desk and closes it.",chair;cup/glass/bottle;desk;medicine;table,"A person sits in a chair. They stand up and take something from a table. They sneeze twice and put the thing back on the table;A person sits in a chair, stands up, examines a bottle of medicine, sneezes, then places the bottle on a table.",c128 5.40 16.20;c153 15.70 23.00;c059 0.40 5.50;c009 9.50 14.60;c109 23.70 29.50;c107 14.10 19.30;c154 4.50 9.80;c109 20.70 25.20;c107 4.80 29.00,29.50
UU5XI,XARO,Bathroom,7,7,Yes,A person is fixing the doorknob.  Then a person is taking groceries out of the room.,bag;doorknob;doorway;groceries;tool,"A person is fixing a doorknob with a tool. The person picks up a bag and walks through the doorway.;A person is fixing a doorknob, then picks up their tools and walks away.",c140 0.00 25.70;c022 26.20 31.00;c097 27.20 31.00;c020 26.10 31.00,30.33
PK2F0,RJOM,Bedroom,7,7,Yes,"A person walks into the bedroom holding a stack of clothing, they put the clothing down walk back to the door and close it they put away the clothing in the wardrobe and then lay down on the bed.",bed;closet;clothes;door;shelf;wardrobe,"A person is opening a door holding a pile of clothes then proceeds to put them away in a closet, they close the door and lay down on a bed.",c006 11.90 19.20;c008 3.20 9.60;c113 3.30 10.20;c000 0.20 12.00;c001 0.00 11.40;c134 17.20 25.00;c097 0.00 5.00;c081 5.10 11.80;c112 8.40 14.00,24.12
PXKFK,D0RU,Entryway (A hall that is generally located at the entrance of a house),7,6,Yes,A person is smiling at the light outside the door.  Then a person is taking groceries inside that were in a bag by the door.,bag;door;groceries;hallway,"A person is walking through a hallway and then goes through a door way to pick up a plastic bag with stuff inside, the person then reaches into the bag.",c023 22.80 37.00;c020 26.30 37.00;c021 26.00 32.70;c097 28.10 37.00,35.58
JNLCW,A8P9,Kitchen,6,5,Yes,"A person is eating a sandwich, grasping a cup of coffee, while trying to work on a laptop.",coffee;glass;laptop;sandwich,"This person picks up a coffee cup, then takes a bit of a sandwich.",,25.25
7AH3L,1TZV,Dining room,4,7,Yes,"A person is walking around a table, then lying on the floor, then using a vacuum and finally taking off shoes in a dining room.",floor;table;vacuum,Person walking around the room and walk completely around the table lay on the floor gets up and began to vacuum.,c137 21.10 34.00;c124 9.70 23.60;c154 13.40 21.60;c127 20.60 34.00,33.46
C41G7,3531,Living room,5,5,Yes,"A person is tidying the hallway with a broom. They stop, and start playing with a television.",broom;floor;remote;television,A person is dusting their living room. They put the duster down and then pick up a remote and start changing the TV channels.,c132 2.80 9.30;c098 9.00 21.90;c099 10.80 23.30;c101 10.90 24.40;c102 22.40 29.20;c127 0.00 3.10,31.08
OOOQT,8718,Kitchen,5,7,Yes,"The person tidying the refrigerator stands near the doorway holding the door open, grasping at food.",door;food;refrigerator;shelf,A person is standing in front of the refrigerator looking through the food on the shelves.;A person stands in the doorway of a refrigerator holding on to the door and moves food from shelf to shelf.,c062 0.00 31.00;c063 0.00 31.00;c082 1.30 31.00;c143 0.00 31.00,29.79
O0C2Z,KQI6,Kitchen,5,2,Yes,A person is throwing food in a sink and then holding a broom in a kitchen.,broom;dish;doorway;food;light;sink,"A person turns on a light, rinces some dishes, then walks around spinning a broom.",c100 16.50 22.10;c119 0.00 19.70;c104 2.90 33.00;c121 10.80 18.70;c119 7.20 13.50;c097 0.00 6.40;c098 16.60 32.90;c104 3.40 7.80,31.54
OEBAH,RXM9,Kitchen,6,6,Yes,A person is walking along the hall holding a pair of shoes for playing golf and a towel.,hair;shoe;towel,A person is walking in their kitchen holding a towel and shoes.;A person walks into the kitchen holding a towel and shoes. They pace back and forth.,c053 0.00 9.20;c033 0.00 22.80;c144 10.00 15.70,30.79
17AZ5,RXM9,Kitchen,6,6,Yes,"A person is dressing while walking down the hallway. The person sneezes, then takes out of bottle of medicine. The person turns out the light and leaves the hallway.",cabinet;clothes;counter;door;jacket;light;medicine;shelf,"A person takes a jacket off the counter and puts it on.  Then the person opens a cabinet, takes out medicine, and sneezes.;A person walks through the kitchen and picks up a sweater from the counter. The person then puts on the sweater and goes to the cabinet. The person opens the cabinet door, takes a bottle of medicine from the shelf, and sneezes. The person then turns off the light.",c112 15.70 22.40;c128 16.30 31.50;c148 4.60 15.30;c153 10.50 15.30;c113 13.50 19.80;c002 0.80 8.30;c008 13.30 19.70;c141 13.50 22.40;c001 4.60 14.60,31.54
YPZQ2,28B0,Hallway,7,7,Yes,"The person is standing in the hallway with bags of groceries, while another person takes some of the groceries and leaves through the door.",bag;doorway;groceries,A person is holding bags in a doorway while another person comes in and takes a bag then they both leave.,c020 0.00 27.00;c023 9.30 15.50;c097 7.80 12.70,26.33
MMKKS,RXM9,Bedroom,6,6,Yes,"Person of struggling to tidying up the hallway, by throwing stuff off the glass table.",books;box;papers;shelf;table,A person in a small room throwing stuff off of a shelf.The boxes are all over the floor .The person continues to throw more boxes on the floor off the shelf.;a person throws stuff off a table;A person empties shelves by throwing or tossing everything off of them onto the floor.,c082 0.00 32.00;c043 16.70 22.90;c045 19.00 23.50;c042 26.00 30.60,30.88
BWKJB,ZSRZ,Hallway,5,7,Yes,"A person takes a blanket from a chair and laughs as they fold it. The person gets distracted by their phone, and begins playing with it.",blanket;chair;phone;towel,The person is in a hallway folding towel and placed in chair.,c070 0.00 11.00;c071 5.10 11.30;c075 0.00 11.10;c015 7.30 18.00;c016 8.20 18.00;c073 0.00 4.40;c034 5.80 11.40,17.33
7OPHI,KFGP,Other,4,6,Yes,"A person opens their laptop and begins watching a video. After a moment, the person closes their laptop and grasps the doorknob.",door;laptop;mouse;table,a person opening a laptop and checking their email,c046 25.00 34.00;c048 0.00 7.30;c052 2.50 29.10;c008 30.10 34.00;c014 0.00 34.00,33.04
R0207,UTMU,Hallway,4,7,Yes,A person in the hallway lying on the floor. The person begins working on the laptop begins eating a sandwich at the doorway.,chair;doorway;floor;food;laptop;sandwich,A person is laying on the floor working on a laptop while eating a sandwich.,c124 0.00 34.00;c052 0.00 34.00;c065 6.00 34.00;c156 6.00 34.00;c068 28.40 33.90;c063 6.10 12.50;c059 0.00 5.80;c062 29.40 34.00;c067 14.10 19.50;c061 7.60 33.60;c069 5.50 12.10,33.21
U75AZ,25TD,Laundry room,4,6,Yes,A person is undressing in the laundry room.  The person grasps the side of a chair to steady their balance and knocks a book onto the floor.,book;chair;clothes;floor;scarf;shoe,The person is taking off a scarf and a pair of shoes. The person knocks a book on the floor.;A person removes a scarf and their shoes.,c001 9.00 14.00;c126 16.00 21.00;c056 12.00 26.00;c057 12.00 26.00;c155 4.40 26.90,29.04
MIV2M,HJJ4,Living room,5,7,Yes,A person opens a door and walks into their living room holding a bag. They pour them self a drink and sit on the sofa .,bag;chair;couch;door;glass;pitcher;sofa,A person walks through the door and closes it behind them as they enter the room. The person is holding a bag. They set it down on a chair and They pour a glass of water out of a pitcher. And then they sit down on the couch holding the glass.;A person opens a door and walks through and places a bag on a chair. The person then pours a glass of water and then sits down on a sofa.,c006 1.50 6.50;c020 0.00 8.80;c123 18.00 23.40;c151 18.00 23.40;c097 0.00 3.00;c008 0.00 4.30;c024 6.40 11.30;c059 17.90 25.00;c108 9.70 18.90;c022 6.40 10.80,24.38
HXSMP,HJJ4,Home Office / Study (A room in a house used for work),5,7,Yes,"A person walks into the office, closes the door, and smiles into the mirror.",door;mirror,A person walks into a room and closes a door. They then look at them self in the mirror on the back of the door and smiles.,c096 6.60 15.00;c006 2.80 10.40;c152 7.40 15.00;c097 1.00 6.60;c094 7.50 15.00,13.50
OVICR,XXN8,Bedroom,4,6,Yes,A person is fixing a phone.  Then a person is sneezing while they put their homework in a pile.,bed;case;notebook;paper;phone,A person is taking of the case of their phone while sneezing then they begin to sort some notebooks.,c116 24.50 30.50;c015 0.00 20.50;c016 0.00 14.90;c153 11.30 21.30;c135 0.00 31.00;c115 18.70 30.70,30.50
QGHR6,3531,Living room,6,6,Yes,A person in the living room is undressing by taking their jacket off. They begin eating some food and then take a broom that is lying by the window and placing it on the ground.,clothes;coat,A person is holding a coat,c000 0.00 3.00;c004 0.00 3.00,2.33
Z3DBQ,2Q9D,Living room,6,6,Yes,Person opens door to apartment.  Person turns on the light.  Person carries bags of groceries up the stairs.  Person gets to the top of the stairs and throws down the bags of groceries.  The person lets out a big smile.,bag;door;groceries;stairs,A person walks into the house holding a bag. They walk up the stairs with the bags and then throw them over the railing onto the floor.;A man opens a door and enters a home. He has two bags in his hand. He climbs up the stairs and throws the bags over the railing.,c024 15.10 22.80;c006 4.70 10.70;c152 18.40 25.40;c020 2.70 22.40;c008 0.40 8.70;c130 14.80 22.40,26.67
SL9ZD,2Q9D,Stairs,6,6,Yes,The person holding the box was working on setting up a chair on the second floor.,box;chair;floor,"A person puts a box on the floor, sits down and fixes a chair.  The person then stands back up, picks up the box and moves the chair one more time.",c125 4.70 18.70;c040 0.00 4.70;c042 0.00 5.50;c043 14.00 22.20;c151 3.60 10.50;c154 14.60 22.80,30.38
AZZVK,2Q9D,Stairs,6,6,Yes,A person is tidying the house by sweeping a broom across the stairs. They are standing on the stairs with a light hanging above them.,broom;floor,A person sweeps the stairs with a broom.;A person is sweeping the stairs.,c098 0.00 32.00;c102 0.00 32.00;c127 21.30 32.00,30.67
FO2RD,1OHU,Garage,7,7,Yes,A person smiles as they work on homework at a table. The person eats from a bag of chips.,chair;drawing;food;paper/notebook,A person is sitting down drawing while eating food.,c059 0.00 30.00;c061 0.00 30.00;c156 0.90 18.60;c145 27.20 30.00,29.04
MS3E8,C7O9,Pantry,6,7,Yes,"A person smiles as they walk into the pantry, carrying a holding a box. The person sets the box down on a table, and begins laughing as they put the groceries away.",box;food;groceries;pantry;shelf,A person walks into the kitchen pantry and starts putting groceries away from a box.,c130 2.80 31.00;c044 3.10 8.20;c044 8.30 13.60;c044 12.60 17.40;c062 5.40 10.50;c062 9.80 15.00;c040 0.00 7.00;c081 0.00 31.00;c042 0.00 6.40,30.12
1X765,PKND,Laundry room,5,7,Yes,"A person is sitting in their laundry room, eating a sandwich and playing with their phone. The dryer finishes spinning and they walk to it to gather up all their clothes.",chair;clothes;food;phone;sandwich;towel,A person is sitting and eating a sandwich while playing with a phone. the person then stands and removes clothes from a washing machine.,c016 1.50 29.50;c067 0.00 28.30;c156 0.00 7.20;c015 0.00 38.00;c065 0.00 27.00;c002 30.00 38.00;c154 24.00 29.00;c059 0.00 28.70;c033 31.20 38.00;c061 0.00 38.00;c005 30.40 38.00;c035 29.90 38.00,36.79
RGHXS,4I2W,Kitchen,6,6,Yes,A person is laughing on the phone while washing a glass,cup;glas;phone,A person is talking on the phone while washing a glass cup.,c015 0.00 30.00;c019 0.00 30.00;c111 0.00 30.00,29.00
VG9II,XXN8,Bedroom,2,5,Yes,A person is drinking coffee and scoots a chair to them. It has a pillow on it and the person puts their feet up to take a break.,chair;coffee;cup;dish;pillow,A person sits in a chair and drinks from a cup.  The person rests back.,c106 3.00 18.40;c059 1.60 31.90;c151 0.10 5.60;c154 27.20 32.20;c118 1.10 19.20;c120 0.40 5.20,32.33
EN80R,AH2J,Kitchen,6,6,Yes,"A person is cooking on a stove, then the person starts taking medicine to help with a sickness.",food;medicine;spoon;stove,"A person is cooking on a stove, they sneeze and reach over and take some medicine off a shelf and drink some.;A person is cooking at a stove, they then begin to sneeze and take some medicine off a shelf and take some.",c128 7.70 13.90;c129 9.60 20.40;c147 0.00 4.00;c153 0.90 8.00,26.46
HIOY0,D0RU,Home Office / Study (A room in a house used for work),5,4,Yes,A person wakes up on the sofa and takes the pillow out from under their head and throws it on the floor.  The person turns on the television and laughs at what's on it.,floor;head;pillow;sofa;television,"There is a person laying down on a coach. Then they get up and leave the pillow on the ground, and then turn on the TV.",c132 27.70 35.70;c123 10.90 16.60;c078 0.00 13.10;c149 32.50 37.00;c131 31.90 37.00;c122 0.00 14.80;c126 14.20 20.00;c080 14.20 20.00;c154 10.90 17.70;c146 0.00 12.80,36.42
